time,total energy,kinectic,gravitational
3.3147,2792.11,1000.01,-394.888
3.32026,2791.99,1000,-394.911
3.32581,2791.87,1000.06,-394.994
3.33137,2791.75,1000.17,-395.135
3.33692,2791.64,1000.34,-395.337
3.34248,2791.52,1000.57,-395.597
3.34803,2791.4,1000.86,-395.917
3.35359,2791.28,1001.21,-396.297
3.35915,2791.16,1001.62,-396.736
3.3647,2791.04,1002.09,-397.234
3.37026,2790.92,1002.62,-397.792
3.37581,2790.8,1003.2,-398.409
3.38137,2790.68,1003.85,-399.085
3.38693,2790.57,1004.56,-399.821
3.39248,2790.45,1005.32,-400.616
3.39804,2790.33,1006.15,-401.471
3.40359,2790.21,1007.03,-402.385
3.40915,2790.09,1007.98,-403.359
3.41471,2789.97,1008.98,-404.392
3.42026,2789.85,1010.04,-405.484
3.42582,2789.73,1011.16,-406.636
3.43137,2789.62,1012.35,-407.847
3.43693,2789.5,1013.59,-409.118
3.44248,2789.38,1014.89,-410.448
3.44804,2789.26,1016.25,-411.837
3.4536,2789.14,1017.67,-413.286
3.45915,2791.57,1019.14,-414.794
3.46471,2791.45,1020.68,-416.362
3.47026,2791.33,1022.28,-417.989
3.47582,2791.21,1023.94,-419.676
3.48138,2791.1,1025.65,-421.421
3.48693,2790.98,1027.43,-423.227
3.49249,2790.86,1029.26,-425.091
3.49804,2790.74,1031.16,-427.016
3.5036,2790.62,1033.11,-428.999
3.50915,2790.5,1035.13,-431.042
3.51471,2790.38,1037.2,-433.144
3.52027,2790.26,1039.33,-435.306
3.52582,2790.14,1041.52,-437.527
3.53138,2790.03,1043.77,-439.808
3.53693,2789.91,1046.08,-442.148
3.54249,2789.79,1048.45,-444.547
3.54805,2789.67,1050.88,-447.006
3.5536,2789.55,1053.37,-449.524
3.55916,2789.43,1055.92,-452.102
3.56471,2791.02,1058.53,-454.739
3.57027,2790.9,1061.19,-457.436
3.57583,2790.78,1063.92,-460.191
3.58138,2790.66,1066.7,-463.007
3.58694,2790.55,1069.55,-465.881
3.59249,2790.43,1072.45,-468.815
3.59805,2790.31,1075.42,-471.809
3.6036,2790.19,1078.44,-474.862
3.60916,2790.07,1081.52,-477.974
3.61472,2789.95,1084.66,-481.146
3.62027,2789.83,1087.87,-484.377
3.62583,2789.71,1091.13,-487.668
3.63138,2789.6,1094.45,-491.018
3.63694,2789.48,1097.83,-494.427
3.6425,2789.36,1101.27,-497.896
3.64805,2789.24,1104.76,-501.424
3.65361,2789.12,1108.32,-505.012
3.65916,2789,1111.94,-508.659
3.66472,2788.88,1115.62,-512.365
3.67027,2788.76,1119.35,-516.131
3.67583,2788.64,1123.15,-519.956
3.68139,2788.53,1127,-523.841
3.68694,2788.41,1130.92,-527.785
3.6925,2788.29,1134.89,-531.789
3.69805,2788.17,1138.92,-535.851
3.70361,2788.05,1143.02,-539.974
3.70917,2787.93,1147.17,-544.156
3.71472,2787.81,1151.38,-548.397
3.72028,2787.69,1155.65,-552.697
3.72583,2787.58,1159.98,-557.057
3.73139,2787.46,1164.37,-561.477
3.73695,2787.34,1168.82,-565.955
3.7425,2787.22,1173.33,-570.494
3.74806,2787.1,1177.9,-575.091
3.75361,2786.98,1182.52,-579.748
3.75917,2786.86,1187.21,-584.465
3.76472,2786.74,1191.96,-589.24
3.77028,2786.62,1196.76,-594.076
3.77584,2786.51,1201.63,-598.97
3.78139,2786.39,1206.55,-603.924
3.78695,2786.27,1211.54,-608.938
3.7925,2786.15,1216.58,-614.011
3.79806,2786.03,1221.68,-619.143
3.80362,2785.91,1226.84,-624.335
3.80917,2785.79,1232.07,-629.586
3.81473,2785.67,1237.35,-634.897
3.82028,2785.56,1242.69,-640.267
3.82584,2785.44,1248.09,-645.696
3.8314,2785.32,1253.55,-651.185
3.83695,2785.2,1259.06,-656.733
3.84251,2785.08,1264.64,-662.341
3.84806,2784.96,1270.28,-668.008
3.85362,2784.84,1275.98,-673.734
3.85917,2784.72,1281.73,-679.52
3.86473,2784.6,1287.55,-685.365
3.87029,2789.06,1293.42,-686.7
3.87584,2788.94,1287.55,-680.855
